Mã tỉnh thành,Tỉnh thành,,Nam,,Nữ,,,Họ ,Tỉ lệ,Đệm 1 nam giới,Tỉ lệ,Đệm 1 nữ giới,Tỉ lệ,Đệm 2 nam giới,Tỉ lệ,Đệm 2 nữ giới,Tỉ lệ,Tên nam giới,Tỉ lệ,Tên nữ giới,Tỉ lệ
001,Hà Nội,,0,19,1,19,,Nguyễn,0.315,Minh,0.082,Thị,0.176,Minh,0.122,Bảo,0.08201,Huy,0.049,Anh,0.071
002,Hà Giang,,2,20,3,20,,Trần,0.109,Hoàng,0.07,Ngọc,0.17,Gia,0.1023,Ngọc,0.0645,Khang,0.042,Vy,0.057
004,Cao Bằng,,4,21,5,21,,Lê,0.089,Gia,0.05,Nguyễn,0.062,Anh,0.06469,Phương,0.06169,Bảo,0.041,Ngọc,0.043
006,Bắc Kạn,,6,22,7,22,,Phạm,0.059,Nguyễn,0.041,Hoàng,0.042,Hoàng,0.05509,Thanh,0.05737,Minh,0.030,Nhi,0.042
008,Tuyên Quang,,8,23,9,23,,Hoàng,0.051,Quốc,0.039,Lê,0.033,Quốc,0.0429,Minh,0.05127,Phúc,0.029,Hân,0.041
010,Lào Cai,,,,,,,Vũ,0.049,Thanh,0.029,Trần,0.028,Bảo,0.03858,Kim,0.04063,Anh,0.027,Thư,0.041
011,Điện Biên,,,,,,,Phan,0.028,Văn,0.029,Thanh,0.028,Tuấn,0.03162,Quỳnh,0.03913,Khoa,0.026,Linh,0.035
012,Lai Châu,,,,,,,Trương,0.022,Thành,0.027,Bảo,0.023,Thiên,0.03077,Khánh,0.03801,Phát,0.025,Như,0.031
014,Sơn La,,,,,,,Bùi,0.021,Anh,0.026,Phương,0.021,Đăng,0.02864,Như,0.03153,Đạt,0.025,Ngân,0.03
015,Yên Bái,,,,,,,Đặng,0.019,Ngọc,0.025,Huỳnh,0.021,Thanh,0.02672,Thảo,0.02917,Khôi,0.022,Phương,0.021
017,Hòa Bình,,,,,,,Đỗ,0.019,Tấn,0.024,Gia,0.02,Nhật,0.02648,Anh,0.02904,Long,0.020,Thảo,0.021
019,Thái Nguyên,,,,,,,Ngô,0.017,Đức,0.023,Minh,0.019,Thành,0.02155,Yến,0.02829,Nam,0.019,My,0.021
020,Lạng Sơn,,,,,,,Hồ,0.015,Lê,0.023,Kim,0.015,Duy,0.02092,Gia,0.02563,Duy,0.018,Trân,0.018
022,Quảng Ninh,,,,,,,Dương,0.014,Tuấn,0.023,Quỳnh,0.015,Tấn,0.01873,Mỹ,0.0231,Quân,0.017,Quỳnh,0.018
024,Bắc Giang,,,,,,,Đinh,0.01,Quang,0.021,Phạm,0.015,Đức,0.01678,Thùy,0.0209,Kiệt,0.017,Nghi,0.017
025,Phú Thọ,,,,,,,Đoàn,0.0094,Trần,0.021,Khánh,0.014,Phúc,0.01553,Hồng,0.02002,Thịnh,0.016,Trang,0.017
026,Vĩnh Phúc,,,,,,,Lâm,0.0092,Hữu,0.017,Hồng,0.012,Quang,0.01499,Tường,0.01829,Tuấn,0.015,Trâm,0.016
027,Bắc Ninh,,,,,,,Mai,0.0086,Nhật,0.015,Mỹ,0.0099,Khánh,0.01453,Thiên,0.01481,Hưng,0.015,An,0.016
030,Hải Dương,,,,,,,Trịnh,0.0082,Duy,0.014,Hà,0.009,Trung,0.01377,Hoàng,0.01386,Hoàng,0.015,Thy,0.015
031,Hải Phòng,,,,,,,Đào,0.0076,Trọng,0.014,Vũ,0.0084,Hải,0.01204,Thu,0.01374,Hiếu,0.014,Châu,0.015
033,Hưng Yên,,,,,,,Cao,0.0075,Đình,0.013,Võ,0.0082,Ngọc,0.01204,Tuyết,0.01337,Nhân,0.014,Trúc,0.015
034,Thái Bình,,,,,,,Lý,0.0074,Đăng,0.013,Mai,0.0078,Trọng,0.01018,Trúc,0.01333,Trí,0.014,Uyên,0.014
035,Hà Nam,,,,,,,Hà,0.0066,Huỳnh,0.013,Thùy,0.0076,Huy,0.00955,Mai,0.01246,Tài,0.013,Yến,0.014
036,Nam Định,,,,,,,Lưu,0.0065,Trung,0.012,Anh,0.0074,Thái,0.00924,Xuân,0.01174,Phong,0.013,Ý,0.012
037,Ninh Bình,,,,,,,Lương,0.0065,Bảo,0.011,Như,0.0074,Hữu,0.00906,Thúy,0.01111,Nguyên,0.012,Tiên,0.011
038,Thanh Hóa,,,,,,,Thái,0.0045,Phúc,0.011,Thảo,0.0068,Tiến,0.00903,Bích,0.01042,An,0.012,Mai,0.011
040,Nghệ An,,,,,,,Châu,0.0045,Tiến,0.01,Thụy,0.0059,Nguyên,0.00766,Cẩm,0.00913,Phú,0.012,Hà,0.01
042,Hà Tĩnh,,,,,,,Tạ,0.0038,Chí,0.01,Phan,0.0056,Trường,0.00736,Ánh,0.00873,Thành,0.012,Vân,0.01
044,Quảng Bình,,,,,,,Phùng,0.0036,Thiên,0.01,Yến,0.0055,Trí,0.00727,Kiều,0.00864,Đức,0.011,Nguyên,0.0093
045,Quảng Trị,,,,,,,Tô,0.0036,Công,0.009,Đặng,0.0054,Phú,0.00648,Diễm,0.00844,Dũng,0.011,Hương,0.0089
046,Thừa Thiên Huế,,,,,,,Vương,0.0028,Xuân,0.0084,Xuân,0.0052,Phước,0.00632,Hà,0.0084,Lộc,0.010,Quyên,0.0078
048,Đà Nẵng,,,,,,,Văn,0.0025,Phạm,0.0084,Hồ,0.0047,Hoài,0.00605,Lan,0.00796,Khánh,0.010,Duyên,0.0077
049,Quảng Nam,,,,,,,Tăng,0.0024,Vũ,0.0084,Thiên,0.0047,An,0.00593,Hải,0.00758,Vinh,0.010,Kim,0.0076
051,Quảng Ngãi,,,,,,,Quách,0.0023,Thái,0.008,Đỗ,0.0045,Nam,0.00575,Thủy,0.00713,Tiến,0.010,Trinh,0.0075
